"filename", "language", "TypeScript", "TypeScript JSX", "JSON with Comments", "CSS", "JavaScript", "JSON", "Markdown", "XML", "SQL", "comment", "blank", "total"
"e:\GR2\Rent_House\rent_house\app\layout.tsx", "TypeScript JSX", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"e:\GR2\Rent_House\rent_house\app\login\page.tsx", "TypeScript JSX", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 10, 97
"e:\GR2\Rent_House\rent_house\app\middleware.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 13
"e:\GR2\Rent_House\rent_house\app\otherOption\page.tsx", "TypeScript JSX", 0, 705, 0, 0, 0, 0, 0, 0, 0, 9, 26, 740
"e:\GR2\Rent_House\rent_house\app\owners\page.tsx", "TypeScript JSX", 0, 524, 0, 0, 0, 0, 0, 0, 0, 1, 26, 551
"e:\GR2\Rent_House\rent_house\app\page.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"e:\GR2\Rent_House\rent_house\app\searchPage\page.tsx", "TypeScript JSX", 0, 258, 0, 0, 0, 0, 0, 0, 0, 14, 15, 287
"e:\GR2\Rent_House\rent_house\contexts\ToastContext.tsx", "TypeScript JSX", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 10, 58
"e:\GR2\Rent_House\rent_house\jest.config.mjs", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 6, 5, 19
"e:\GR2\Rent_House\rent_house\next.config.js", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 2, 5
"e:\GR2\Rent_House\rent_house\package-lock.json", "JSON", 0, 0, 0, 0, 0, 9857, 0, 0, 0, 0, 1, 9858
"e:\GR2\Rent_House\rent_house\package.json", "JSON", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 1, 51
"e:\GR2\Rent_House\rent_house\postcss.config.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"e:\GR2\Rent_House\rent_house\prisma\migrations\20240615173457_init_db\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 138, 20, 29, 187
"e:\GR2\Rent_House\rent_house\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\GR2\Rent_House\rent_house\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\GR2\Rent_House\rent_house\register.js", "JavaScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"e:\GR2\Rent_House\rent_house\tailwind.config.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"e:\GR2\Rent_House\rent_house\tsconfig.json", "JSON with Comments", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 1647, 6686, 30, 20, 33, 9907, 37, 2, 138, 324, 545, 19369
